STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/12/1921,,,0,0,,,64,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/13/1921,,,0,0,,,65,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/14/1921,,,0,0,,,69,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/15/1921,,,0,0,,,77,57,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/16/1921,,,0,0,,,64,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/17/1921,,,0,0,,,68,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/18/1921,,,0,0,,,67,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/19/1921,,,0,0,,,67,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/20/1921,,,0,0,,,64,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/21/1921,,,0,0,,,66,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/22/1921,,,0,0,,,63,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/23/1921,,,0,0,,,65,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/24/1921,,,0,0,,,67,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/25/1921,,,0,0,,,69,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/26/1921,,,0,0,,,68,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/27/1921,,,0,0,,,66,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/28/1921,,,0,0,,,66,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/29/1921,,,0,0,,,70,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/30/1921,,,0,0,,,60,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",8/31/1921,,,0,0,,,62,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/1/1921,,,0,0,,,67,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/2/1921,,,0,0,,,66,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/3/1921,,,0,0,,,73,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/4/1921,,,0,0,,,80,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/5/1921,,,0,0,,,78,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/6/1921,,,0,0,,,73,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/7/1921,,,0,0,,,72,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/8/1921,,,0,0,,,67,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/9/1921,,,0,0,,,67,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/10/1921,,,0,0,,,62,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/11/1921,,,0,0,,,65,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/12/1921,,,0,0,,,63,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/13/1921,,,0,0,,,63,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/14/1921,,,0,0,,,64,53,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/15/1921,,,0,0,,,64,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/16/1921,,,0,0,,,60,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/17/1921,,,0.2,0,,,60,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/18/1921,,,0.03,0,,,66,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/19/1921,,,0.12,0,,,68,58,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/20/1921,,,0,0,,,77,57,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/21/1921,,,0,0,,,76,57,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/22/1921,,,0,0,,,72,56,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/23/1921,,,0,0,,,67,57,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/24/1921,,,0,0,,,70,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/25/1921,,,0,0,,,74,55,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/26/1921,,,0,0,,,88,60,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/27/1921,,,0,0,,,92,65,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/28/1921,,,0,0,,,93,63,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/29/1921,,,0,0,,,76,54,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",9/30/1921,,,0,0,,,69,54,
