"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00051401","CASTLE ROCK, CO US","1893-01-01",,,,,"0.0","0.0",,"7.8","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-01-02",,,,,"0.0","0.0",,"12.8","-2.2",
"USC00051401","CASTLE ROCK, CO US","1893-01-03",,,,,"0.0","0.0",,"12.8","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-01-04",,,,,"0.0","0.0",,"11.1","-7.8",
"USC00051401","CASTLE ROCK, CO US","1893-01-05",,,,,"0.0","0.0",,"11.1","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-06",,,,,"0.0","0.0",,"10.0","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-07",,,,,"0.0","0.0",,"2.8","-10.6",
"USC00051401","CASTLE ROCK, CO US","1893-01-08",,,,,"0.0","0.0",,"12.8","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-09",,,,,"0.0","0.0",,"11.1","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-01-10",,,,,"0.0","0.0",,"12.2","-4.4",
"USC00051401","CASTLE ROCK, CO US","1893-01-11",,,,,"0.0","0.0",,"2.2","-19.4",
"USC00051401","CASTLE ROCK, CO US","1893-01-12",,,,,"2.5","28.0",,"5.0","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-13",,,,,"0.0","0.0",,"8.3","-8.3",
"USC00051401","CASTLE ROCK, CO US","1893-01-14",,,,,"0.0","0.0",,"-5.6","-13.9",
"USC00051401","CASTLE ROCK, CO US","1893-01-15",,,,,"0.0","0.0",,"-0.6","-12.2",
"USC00051401","CASTLE ROCK, CO US","1893-01-16",,,,,"0.0","0.0",,"1.1","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-17",,,,,"0.0","0.0",,"0.0","-13.3",
"USC00051401","CASTLE ROCK, CO US","1893-01-18",,,,,"0.0","0.0",,"6.7","-12.2",
"USC00051401","CASTLE ROCK, CO US","1893-01-19",,,,,"0.0","0.0",,"1.7","-11.7",
"USC00051401","CASTLE ROCK, CO US","1893-01-20",,,,,"0.0","0.0",,"7.2","-12.8",
"USC00051401","CASTLE ROCK, CO US","1893-01-21",,,,,"0.0","0.0",,"8.3","-10.0",
"USC00051401","CASTLE ROCK, CO US","1893-01-22",,,,,"0.0","0.0",,"9.4","-7.8",
"USC00051401","CASTLE ROCK, CO US","1893-01-23",,,,,"0.0","0.0",,"10.0","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-01-24",,,,,"0.0","0.0",,"13.3","-2.2",
"USC00051401","CASTLE ROCK, CO US","1893-01-25",,,,,"0.0","0.0",,"12.8","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-26",,,,,"0.0","0.0",,"12.8","-10.6",
"USC00051401","CASTLE ROCK, CO US","1893-01-27",,,,,"0.0","0.0",,"11.1","1.1",
"USC00051401","CASTLE ROCK, CO US","1893-01-28",,,,,"0.0","0.0",,"9.4","-6.7",
"USC00051401","CASTLE ROCK, CO US","1893-01-29",,,,,"0.0","0.0",,"10.6","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-01-30",,,,,"0.0","0.0",,"9.4","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-01-31",,,,,"0.0","0.0",,"12.8",,
"USC00051401","CASTLE ROCK, CO US","1893-02-01",,,,,"1.3","13.0",,"-3.9","-17.2",
"USC00051401","CASTLE ROCK, CO US","1893-02-02",,,,,"0.0","0.0",,"2.2","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-02-03",,,,,"0.0","0.0",,"1.7","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-02-04",,,,,"0.0","0.0",,"11.1","0.6",
"USC00051401","CASTLE ROCK, CO US","1893-02-05",,,,,"1.3","13.0",,"13.9","-12.2",
"USC00051401","CASTLE ROCK, CO US","1893-02-06",,,,,"0.0","0.0",,"3.9","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-02-07",,,,,"0.0","0.0",,"2.2","-6.7",
"USC00051401","CASTLE ROCK, CO US","1893-02-08",,,,,"0.0","0.0",,"13.3","-2.2",
"USC00051401","CASTLE ROCK, CO US","1893-02-09",,,,,"2.5","25.0",,"2.8","-7.2",
"USC00051401","CASTLE ROCK, CO US","1893-02-10",,,,,"0.0","0.0",,"8.9","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-02-11",,,,,"1.3","13.0",,"6.7","-6.7",
"USC00051401","CASTLE ROCK, CO US","1893-02-12",,,,,"0.0","0.0",,"10.0","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-02-13",,,,,"5.1","51.0",,"12.8","-17.8",
"USC00051401","CASTLE ROCK, CO US","1893-02-14",,,,,"0.0","0.0",,"-2.8","-17.2",
"USC00051401","CASTLE ROCK, CO US","1893-02-15",,,,,"0.0","0.0",,"5.0","-14.4",
"USC00051401","CASTLE ROCK, CO US","1893-02-16",,,,,"0.0","0.0",,"10.0","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-02-17",,,,,"0.0","0.0",,"5.0","-8.3",
"USC00051401","CASTLE ROCK, CO US","1893-02-18",,,,,"0.0","0.0",,"8.9","-9.4",
"USC00051401","CASTLE ROCK, CO US","1893-02-19",,,,,"0.0","0.0",,"10.6","-4.4",
"USC00051401","CASTLE ROCK, CO US","1893-02-20",,,,,,"0.0",,"6.1","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-02-21",,,,,"0.0","0.0",,"13.3","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-02-22",,,,,"0.0","0.0",,"10.6","-11.7",
"USC00051401","CASTLE ROCK, CO US","1893-02-23",,,,,"0.0","0.0",,"5.6","-8.3",
"USC00051401","CASTLE ROCK, CO US","1893-02-24",,,,,"2.5","25.0",,"-1.7","-16.1",
"USC00051401","CASTLE ROCK, CO US","1893-02-25",,,,,"0.0","0.0",,"3.9","-7.8",
"USC00051401","CASTLE ROCK, CO US","1893-02-26",,,,,"10.2","102.0",,"3.3","-18.3",
"USC00051401","CASTLE ROCK, CO US","1893-02-27",,,,,"0.0","0.0",,"-0.6","-18.9",
"USC00051401","CASTLE ROCK, CO US","1893-02-28",,,,,"0.0","0.0",,"0.6","-15.0",
"USC00051401","CASTLE ROCK, CO US","1893-03-01",,,,,"0.0","0.0",,"10.6","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-03-02",,,,,"0.0","0.0",,"10.0","-7.8",
"USC00051401","CASTLE ROCK, CO US","1893-03-03",,,,,"2.5","25.0",,"0.0","-12.8",
"USC00051401","CASTLE ROCK, CO US","1893-03-04",,,,,"0.0","0.0",,"11.1","-7.8",
"USC00051401","CASTLE ROCK, CO US","1893-03-05",,,,,"0.0","0.0",,"2.8","-8.9",
"USC00051401","CASTLE ROCK, CO US","1893-03-06",,,,,"0.0","0.0",,"2.2","-4.4",
"USC00051401","CASTLE ROCK, CO US","1893-03-07",,,,,"5.1","51.0",,"1.1","-9.4",
"USC00051401","CASTLE ROCK, CO US","1893-03-08",,,,,"0.0","0.0",,"11.1","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-03-09",,,,,"0.0","0.0",,"11.1","-4.4",
"USC00051401","CASTLE ROCK, CO US","1893-03-10",,,,,"0.0","0.0",,"7.8","-8.9",
"USC00051401","CASTLE ROCK, CO US","1893-03-11",,,,,"0.0","0.0",,"13.9","0.6",
"USC00051401","CASTLE ROCK, CO US","1893-03-12",,,,,"0.0","0.0",,"6.7","-6.7",
"USC00051401","CASTLE ROCK, CO US","1893-03-13",,,,,"0.0","0.0",,"3.3",,
"USC00051401","CASTLE ROCK, CO US","1893-03-14",,,,,"0.0","0.0",,"3.3","-8.9",
"USC00051401","CASTLE ROCK, CO US","1893-03-15",,,,,"0.0","0.0",,"8.9","-6.7",
"USC00051401","CASTLE ROCK, CO US","1893-03-16",,,,,"0.0","0.0",,"3.9","-8.3",
"USC00051401","CASTLE ROCK, CO US","1893-03-17",,,,,"0.0","0.0",,"5.6","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-03-18",,,,,"0.0","0.0",,"12.8","-1.7",
"USC00051401","CASTLE ROCK, CO US","1893-03-19",,,,,"0.0","0.0",,"16.7","-3.9",
"USC00051401","CASTLE ROCK, CO US","1893-03-20",,,,,"0.0","0.0",,"13.3","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-03-21",,,,,"0.0","0.0",,"16.7","-3.9",
"USC00051401","CASTLE ROCK, CO US","1893-03-22",,,,,"0.0","0.0",,"2.2","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-03-23",,,,,"10.2","102.0",,"5.0","-11.7",
"USC00051401","CASTLE ROCK, CO US","1893-03-24",,,,,"0.0","0.0",,"9.4","-2.8",
"USC00051401","CASTLE ROCK, CO US","1893-03-25",,,,,"0.0","0.0",,"9.4","-7.2",
"USC00051401","CASTLE ROCK, CO US","1893-03-26",,,,,"0.0","0.0",,"10.0","-2.8",
"USC00051401","CASTLE ROCK, CO US","1893-03-27",,,,,"0.0","0.0",,"6.7","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-03-28",,,,,"0.0","0.0",,,"-2.8",
"USC00051401","CASTLE ROCK, CO US","1893-03-29",,,,,"0.0","0.0",,"22.2","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-03-30",,,,,"0.0","0.0",,"26.7","6.7",
"USC00051401","CASTLE ROCK, CO US","1893-03-31",,,,,"0.0","0.0",,"20.0","-3.9",
"USC00051401","CASTLE ROCK, CO US","1893-04-01",,,,,"0.0","0.0",,"20.6","1.7",
"USC00051401","CASTLE ROCK, CO US","1893-04-02",,,,,"0.0","0.0",,"24.4","1.7",
"USC00051401","CASTLE ROCK, CO US","1893-04-03",,,,,"0.0","0.0",,"23.3","-1.1",
"USC00051401","CASTLE ROCK, CO US","1893-04-04",,,,,"0.0","0.0",,"24.4","0.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-05",,,,,"0.0","0.0",,"25.0","5.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-06",,,,,"0.0","0.0",,"23.9","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-04-07",,,,,"0.0","0.0",,"13.3","-7.2",
"USC00051401","CASTLE ROCK, CO US","1893-04-08",,,,,"0.0","0.0",,"10.0","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-09",,,,,"0.0","0.0",,"12.8","-7.8",
"USC00051401","CASTLE ROCK, CO US","1893-04-10",,,,,"0.0","0.0",,"14.4","-0.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-11",,,,,"2.5","25.0",,"10.0","-3.3",
"USC00051401","CASTLE ROCK, CO US","1893-04-12",,,,,"0.0","0.0",,"13.9","-2.8",
"USC00051401","CASTLE ROCK, CO US","1893-04-13",,,,,"10.2","102.0",,"3.9","-15.0",
"USC00051401","CASTLE ROCK, CO US","1893-04-14",,,,,"0.0","0.0",,"14.4","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-15",,,,,"0.0","0.0",,"16.7","-4.4",
"USC00051401","CASTLE ROCK, CO US","1893-04-16",,,,,"0.0","0.0",,"17.2","-3.3",
"USC00051401","CASTLE ROCK, CO US","1893-04-17",,,,,"0.0","0.0",,"22.2","-2.8",
"USC00051401","CASTLE ROCK, CO US","1893-04-18",,,,,"5.1","51.0",,"15.0","-14.4",
"USC00051401","CASTLE ROCK, CO US","1893-04-19",,,,,"0.0","0.0",,"6.1","-11.1",
"USC00051401","CASTLE ROCK, CO US","1893-04-20",,,,,"0.0","0.0",,"6.1","-13.9",
"USC00051401","CASTLE ROCK, CO US","1893-04-21",,,,,"0.0","0.0",,"15.6","-3.3",
"USC00051401","CASTLE ROCK, CO US","1893-04-22",,,,,"0.0","0.0",,"17.8","1.1",
"USC00051401","CASTLE ROCK, CO US","1893-04-23",,,,,"0.0","0.0",,"23.9","1.1",
"USC00051401","CASTLE ROCK, CO US","1893-04-24",,,,,"1.3","13.0",,"23.3","-3.3",
"USC00051401","CASTLE ROCK, CO US","1893-04-25",,,,,"0.0","0.0",,"6.1","-5.0",
"USC00051401","CASTLE ROCK, CO US","1893-04-26",,,,,"0.0","0.0",,"16.1","0.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-27",,,,,"0.0","0.0",,"24.4","-3.3",
"USC00051401","CASTLE ROCK, CO US","1893-04-28",,,,,"0.0","0.0",,"16.1","-2.2",
"USC00051401","CASTLE ROCK, CO US","1893-04-29",,,,,"0.0","0.0",,"2.2","-5.6",
"USC00051401","CASTLE ROCK, CO US","1893-04-30",,,,,"3.8","64.0",,"2.2","-6.1",
"USC00051401","CASTLE ROCK, CO US","1893-05-01",,,,,,,,"15.0","-3.9",
"USC00051401","CASTLE ROCK, CO US","1893-05-02",,,,,,,,"17.2","0.6",
"USC00051401","CASTLE ROCK, CO US","1893-05-03",,,,,,,,"21.1","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-04",,,,,,,,"17.2","4.4",
"USC00051401","CASTLE ROCK, CO US","1893-05-05",,,,,,,,"16.7","-0.6",
"USC00051401","CASTLE ROCK, CO US","1893-05-06",,,,,"23.4",,,"3.3","-1.7",
"USC00051401","CASTLE ROCK, CO US","1893-05-07",,,,,,,,"12.2","-0.6",
"USC00051401","CASTLE ROCK, CO US","1893-05-08",,,,,,,,"21.1","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-05-09",,,,,,,,"23.3","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-10",,,,,,,,"26.7","-1.1",
"USC00051401","CASTLE ROCK, CO US","1893-05-11",,,,,,,,"24.4","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-12",,,,,,,,"27.2","5.0",
"USC00051401","CASTLE ROCK, CO US","1893-05-13",,,,,"0.3",,,"24.4","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-14",,,,,,,,"25.0","5.6",
"USC00051401","CASTLE ROCK, CO US","1893-05-15",,,,,"0.5",,,"27.8","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-16",,,,,"0.0",,,"27.2","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-17",,,,,,,,,"8.3",
"USC00051401","CASTLE ROCK, CO US","1893-05-18",,,,,,,,"28.9","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-05-19",,,,,,,,"20.6","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-05-20",,,,,,,,"25.0","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-05-21",,,,,,,,"23.9","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-05-22",,,,,"2.5",,,"15.6","1.1",
"USC00051401","CASTLE ROCK, CO US","1893-05-23",,,,,,,,"26.1","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-05-24",,,,,"1.0",,,"26.7","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-05-25",,,,,,,,"10.6","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-05-26",,,,,"0.0",,,"17.2","3.9",
"USC00051401","CASTLE ROCK, CO US","1893-05-27",,,,,,,,"14.4","3.3",
"USC00051401","CASTLE ROCK, CO US","1893-05-28",,,,,,,,"23.3","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-05-29",,,,,,,,"27.2","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-05-30",,,,,,,,"20.6","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-05-31",,,,,"0.0",,,"26.1","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-06-01",,,,,"0.0",,,"23.3","3.9",
"USC00051401","CASTLE ROCK, CO US","1893-06-02",,,,,"0.0",,,"28.3","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-06-03",,,,,"5.1",,,"22.2","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-06-04",,,,,"0.0",,,"20.6","-0.6",
"USC00051401","CASTLE ROCK, CO US","1893-06-05",,,,,"0.0",,,"20.6","-0.6",
"USC00051401","CASTLE ROCK, CO US","1893-06-06",,,,,"0.0",,,"27.2","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-06-07",,,,,"0.0",,,"33.3","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-06-08",,,,,"0.0",,,"33.3","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-09",,,,,"0.0",,,"31.7","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-06-10",,,,,"0.0",,,"33.9","13.9",
"USC00051401","CASTLE ROCK, CO US","1893-06-11",,,,,"0.0",,,"33.3","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-12",,,,,"0.0",,,"32.2","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-06-13",,,,,"0.0",,,"31.1","6.1",
"USC00051401","CASTLE ROCK, CO US","1893-06-14",,,,,"0.0",,,"26.7","4.4",
"USC00051401","CASTLE ROCK, CO US","1893-06-15",,,,,"0.0",,,"28.3","5.6",
"USC00051401","CASTLE ROCK, CO US","1893-06-16",,,,,"0.0",,,"28.9","6.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-17",,,,,"0.0",,,"32.8","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-06-18",,,,,"0.0",,,"31.7","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-06-19",,,,,"0.0",,,"33.9","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-06-20",,,,,"0.0",,,"33.9","4.4",
"USC00051401","CASTLE ROCK, CO US","1893-06-21",,,,,"0.0",,,"28.9","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-06-22",,,,,"0.0",,,"27.8","11.1",
"USC00051401","CASTLE ROCK, CO US","1893-06-23",,,,,"0.0",,,"33.3","6.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-24",,,,,"0.0",,,"28.9","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-06-25",,,,,"0.0",,,"28.9","6.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-26",,,,,"0.5",,,"28.3","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-27",,,,,"0.0",,,"32.2","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-06-28",,,,,"0.0",,,"32.8","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-06-29",,,,,"3.6",,,"18.3","6.7",
"USC00051401","CASTLE ROCK, CO US","1893-06-30",,,,,"0.0",,,"28.3","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-01",,,,,"0.0",,,"32.2","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-07-02",,,,,"0.0",,,"31.1","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-03",,,,,"0.0",,,"33.9","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-04",,,,,"0.0",,,"33.9","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-07-05",,,,,"0.0",,,"34.4","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-07-06",,,,,"0.0",,,"33.3","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-07-07",,,,,"0.0",,,"32.2","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-08",,,,,"0.0",,,"27.8","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-07-09",,,,,"0.0",,,"32.2","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-07-10",,,,,"2.5",,,"31.7","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-07-11",,,,,"1.8",,,"32.8","15.0",
"USC00051401","CASTLE ROCK, CO US","1893-07-12",,,,,"3.6",,,"32.2","11.1",
"USC00051401","CASTLE ROCK, CO US","1893-07-13",,,,,"3.3",,,"30.6","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-07-14",,,,,"0.0",,,"29.4","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-07-15",,,,,"0.0",,,"29.4","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-16",,,,,"0.0",,,"32.2","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-07-17",,,,,"1.3",,,"32.2","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-07-18",,,,,"0.0",,,"32.2","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-07-19",,,,,"0.0",,,"32.2","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-07-20",,,,,"0.0",,,"32.8","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-21",,,,,"0.0",,,"33.3","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-07-22",,,,,"0.0",,,"32.2","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-07-23",,,,,"2.8",,,"30.6","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-07-24",,,,,"0.8",,,"30.6","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-25",,,,,"20.3",,,"26.1","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-26",,,,,"7.4",,,"28.9","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-07-27",,,,,"0.8",,,"28.9","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-07-28",,,,,"15.0",,,"28.3","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-07-29",,,,,"0.0",,,"28.9","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-07-30",,,,,"3.0",,,"26.7","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-07-31",,,,,"0.8",,,"25.0","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-08-01",,,,,"1.3",,,"25.0","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-08-02",,,,,"0.0",,,"28.3","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-08-03",,,,,"0.0",,,"30.0","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-08-04",,,,,"3.0",,,"29.4","10.0",
"USC00051401","CASTLE ROCK, CO US","1893-08-05",,,,,"0.0",,,"27.8","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-08-06",,,,,"0.0",,,"30.6","11.7",
"USC00051401","CASTLE ROCK, CO US","1893-08-07",,,,,"0.0",,,"29.4","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-08-08",,,,,"5.1",,,"26.7","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-08-09",,,,,"11.4",,,"27.2","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-08-10",,,,,"2.3",,,"29.4","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-08-11",,,,,"0.3",,,"26.1","14.4",
"USC00051401","CASTLE ROCK, CO US","1893-08-12",,,,,"0.0",,,"30.6","8.9",
"USC00051401","CASTLE ROCK, CO US","1893-08-13",,,,,"0.0",,,"32.2","13.3",
"USC00051401","CASTLE ROCK, CO US","1893-08-14",,,,,"3.3",,,"32.2","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-08-15",,,,,"0.0",,,"27.8","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-08-16",,,,,"0.0",,,"30.6","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-08-17",,,,,"0.0",,,"28.3","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-08-18",,,,,"0.0",,,"31.1","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-08-19",,,,,"0.0",,,"32.2","12.2",
"USC00051401","CASTLE ROCK, CO US","1893-08-20",,,,,"0.0",,,"27.2","12.8",
"USC00051401","CASTLE ROCK, CO US","1893-08-21",,,,,"3.3",,,"31.7","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-08-22",,,,,"0.0",,,"31.1","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-08-23",,,,,"1.0",,,"30.0","6.1",
"USC00051401","CASTLE ROCK, CO US","1893-08-24",,,,,"0.0",,,"28.3","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-08-25",,,,,"0.0",,,"32.2","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-08-26",,,,,"0.0",,,"30.0","9.4",
"USC00051401","CASTLE ROCK, CO US","1893-08-27",,,,,"0.0",,,"22.2","8.9",
"USC00051401","CASTLE ROCK, CO US","1893-08-28",,,,,"0.0",,,"28.3","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-08-29",,,,,"0.0",,,"28.9","6.1",
"USC00051401","CASTLE ROCK, CO US","1893-08-30",,,,,"5.1",,,"29.4","8.9",
"USC00051401","CASTLE ROCK, CO US","1893-08-31",,,,,"0.0",,,"20.6","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-09-01",,,,,"0.0",,,"24.4","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-02",,,,,"0.0",,,"30.0","6.7",
"USC00051401","CASTLE ROCK, CO US","1893-09-03",,,,,"0.0",,,"29.4","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-04",,,,,"0.0",,,"31.7","3.9",
"USC00051401","CASTLE ROCK, CO US","1893-09-05",,,,,"0.0",,,"29.4","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-06",,,,,"0.0",,,"32.2","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-07",,,,,"0.0",,,"31.1","6.1",
"USC00051401","CASTLE ROCK, CO US","1893-09-08",,,,,"0.0",,,"30.6","4.4",
"USC00051401","CASTLE ROCK, CO US","1893-09-09",,,,,"0.0",,,"29.4","3.9",
"USC00051401","CASTLE ROCK, CO US","1893-09-10",,,,,"0.0",,,"28.9","4.4",
"USC00051401","CASTLE ROCK, CO US","1893-09-11",,,,,"0.0",,,"30.0","7.8",
"USC00051401","CASTLE ROCK, CO US","1893-09-12",,,,,"0.0",,,"31.1","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-13",,,,,"0.0",,,"28.9","4.4",
"USC00051401","CASTLE ROCK, CO US","1893-09-14",,,,,"0.0",,,"30.6","5.6",
"USC00051401","CASTLE ROCK, CO US","1893-09-15",,,,,"0.0",,,"26.1","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-09-16",,,,,"0.0",,,"28.3","13.3",
"USC00051401","CASTLE ROCK, CO US","1893-09-17",,,,,"0.0",,,"28.3","10.6",
"USC00051401","CASTLE ROCK, CO US","1893-09-18",,,,,"0.0",,,"26.7","1.7",
"USC00051401","CASTLE ROCK, CO US","1893-09-19",,,,,"0.0",,,"26.7","8.3",
"USC00051401","CASTLE ROCK, CO US","1893-09-20",,,,,"0.0",,,"28.9","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-21",,,,,"0.0",,,"27.8","2.8",
"USC00051401","CASTLE ROCK, CO US","1893-09-22",,,,,"0.0",,,"25.0","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-09-23",,,,,"0.0",,,"22.8","1.7",
"USC00051401","CASTLE ROCK, CO US","1893-09-24",,,,,"0.0",,,"22.2","-1.7",
"USC00051401","CASTLE ROCK, CO US","1893-09-25",,,,,"0.0",,,"19.4","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-09-26",,,,,"0.0",,,"22.2","1.7",
"USC00051401","CASTLE ROCK, CO US","1893-09-27",,,,,"0.0",,,"23.3","7.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-28",,,,,"0.0",,,"23.3","2.2",
"USC00051401","CASTLE ROCK, CO US","1893-09-29",,,,,"0.0",,,"28.3","3.9",
"USC00051401","CASTLE ROCK, CO US","1893-09-30",,,,,"0.0",,,"19.4","0.0",
"USC00051401","CASTLE ROCK, CO US","1893-10-01",,,,,"8.6","0.0",,"4.4","-6.7",
"USC00051401","CASTLE ROCK, CO US","1893-10-02",,,,,"0.0","0.0",,"12.8","-1.1",
"USC00051401","CASTLE ROCK, CO US","1893-10-03",,,,,"0.0","0.0",,"20.6","0.6",
